Epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.9765422079298232,1.977200115168536,0.20238095238095238,0.18518518518518517
2,1.842156622144911,2.3526264914759882,0.2748015873015873,0.14814814814814814
3,1.8043108213515509,2.57619191982128,0.2867063492063492,0.1574074074074074
4,1.6782613216884552,2.606112109290229,0.3601190476190476,0.17592592592592593
5,1.6255434429834759,1.8202810949749417,0.3898809523809524,0.3148148148148148
6,1.561069823446728,2.5229248294123896,0.4246031746031746,0.2222222222222222
7,1.4985693144419836,2.522585497962104,0.439484126984127,0.2361111111111111
8,1.4386356368897453,2.1445450606169523,0.4801587301587302,0.27314814814814814
9,1.3994819228611295,2.3480122530901872,0.4871031746031746,0.2361111111111111
10,1.3593705173522708,2.040690775270815,0.498015873015873,0.37962962962962965
11,1.3303492371998136,1.759172625011868,0.5089285714285714,0.39351851851851855
12,1.262850282684205,1.6293876347718415,0.5505952380952381,0.4351851851851852
13,1.1805481248431735,1.827985339694553,0.5942460317460317,0.35185185185185186
14,1.114640374032278,3.5659445303457753,0.626984126984127,0.2638888888888889
15,1.0775821682006594,2.193920479880439,0.6220238095238095,0.3472222222222222
16,1.0868825931397696,1.596061110496521,0.6011904761904762,0.4166666666666667
17,1.0508293197268532,1.7403649709842823,0.6121031746031746,0.4166666666666667
18,0.9467721978823344,1.5478512622691967,0.6785714285714286,0.47685185185185186
19,0.915175269520472,1.3895312150319417,0.685515873015873,0.5138888888888888
20,0.8858956845979842,1.4095561239454482,0.7003968253968254,0.5
21,0.8557683570044381,1.7102550753840693,0.7023809523809523,0.4212962962962963
22,0.8249906490719507,1.408837980694241,0.7152777777777778,0.49537037037037035
23,0.7620518027790009,1.7688664418679696,0.7341269841269841,0.4583333333333333
24,0.701359592732929,1.9654921602319788,0.7619047619047619,0.37962962962962965
25,0.6626910879498437,1.3766742282443576,0.7738095238095238,0.5092592592592593
26,0.6032556948207674,1.877186165915595,0.810515873015873,0.41203703703703703
27,0.6025192690274072,1.680181039704217,0.7966269841269841,0.4351851851851852
28,0.6139511238960993,2.848381378032543,0.7827380952380952,0.3333333333333333
29,0.6027236741686625,1.3863795112680506,0.7916666666666666,0.5416666666666666
30,0.5430294038757445,1.185669770947209,0.8234126984126984,0.5740740740740741
31,0.4800884137077937,1.540486145902563,0.8432539682539683,0.5231481481481481
32,0.5038212977704548,1.7014232167491206,0.8373015873015873,0.5324074074074074
33,0.46567370210375103,1.6282978146164506,0.8472222222222222,0.5277777777777778
